longueur d'onde;nitrate de baryum;chlorure de cuivre(II);chlorure de sodium
nm;1u = 3lux;1u = 3lux;1u = 3lux
760,002;169,021;162,797;162,797
760,174;194,877;184,075;184,075
760,346;175,896;144,953;144,953
760,518;165,502;140,513;140,513
760,689;176,872;151,278;151,278
760,861;157,881;118,828;118,828
761,033;163,321;124,218;124,218
761,205;154,936;129,604;129,604
761,376;151,745;120,427;120,427
761,548;226,948;176,687;176,687
761,72;180,745;142,914;142,914
761,892;223,583;141,099;141,099
762,063;203,449;128,434;128,434
762,235;234,952;156,537;156,537
762,407;259,616;148,449;148,449
762,579;263,386;132,39;132,39
762,75;249,764;133,315;133,315
762,922;319,629;179,797;179,797
763,094;308,32;144,026;144,026
763,265;316,763;150,858;150,858
763,437;355,128;165,645;165,645
763,609;343,937;172,76;172,76
763,781;378,742;148,355;148,355
763,952;426,926;127,598;127,598
764,124;425,168;145,268;145,268
764,296;457,628;168,157;168,157
764,468;447,793;179,979;179,979
764,639;481,442;155,554;155,554
764,811;493,325;158,815;158,815
764,983;542,229;161,36;161,36
765,155;570,619;167,107;167,107
765,326;639,725;197,247;197,247
765,498;672,91;136,425;136,425
765,67;697,286;147,095;147,095
765,841;717,035;179,831;179,831
766,013;831,473;166,08;166,08
766,185;832,152;194,566;194,566
766,357;965,086;186,038;186,038
766,528;1081,22;206,828;206,828
766,7;1969,12;234,431;234,431
766,872;7778,61;389,292;389,292
767,044;15179,9;511,223;511,223
767,215;16319,4;732,835;732,835
767,387;16335,5;794,239;794,239
767,559;16309,7;848,011;848,011
767,73;16294,8;702,847;702,847
767,902;16310,7;515,576;515,576
768,074;9528,94;283,886;283,886
768,246;1601,49;216,556;216,556
768,417;1105,09;183,253;183,253
768,589;900,591;228,823;228,823
768,761;781,545;213,147;213,147
768,932;705,069;177,409;177,409
769,104;679,356;218,068;218,068
769,276;704,91;199,708;199,708
769,448;680,693;295,59;295,59
769,619;628,899;228,25;228,25
769,791;645,277;180,834;180,834
769,963;697,231;215,601;215,601
770,134;1245,16;256,847;256,847
770,306;4395,6;312,011;312,011
770,478;8823,34;349,233;349,233
770,649;13986,5;516,668;516,668
770,821;16325,5;560,646;560,646
770,993;16318,2;547,173;547,173
771,165;13103;471,795;471,795
771,336;8319,31;413,591;413,591
771,508;2949,5;191,434;191,434
771,68;766,529;176,7;176,7
771,851;557,848;179,275;179,275
772,023;359,57;166,425;166,425
772,195;320,117;173,269;173,269
772,367;276,11;152,409;152,409
772,538;229,602;126,523;126,523
772,71;225,291;202,927;202,927
772,882;201,956;166,722;166,722
773,053;203,645;153,211;153,211
773,225;173,968;144,251;144,251
773,397;147,32;194,791;194,791
773,568;138,561;210,099;210,099
773,74;141,908;172,873;172,873
773,912;94,061;152,002;152,002
774,083;137,612;228,937;228,937
774,255;96,099;142,671;142,671
774,427;89,381;167,964;167,964
774,599;84,85;186,657;186,657
774,77;67,613;179,173;179,173
774,942;87,385;119,443;119,443
775,114;82,256;138,917;138,917
775,285;79,733;150,313;150,313
775,457;100,229;185,041;185,041
775,629;92,907;172,606;172,606
775,8;73,684;125,701;125,701
775,972;65,202;132,13;132,13
776,144;87,577;197,912;197,912
776,315;51,046;165,901;165,901
776,487;85,651;206,535;206,535
776,659;49,63;126,947;126,947
776,83;82,095;111,806;111,806
777,002;69,978;116,053;116,053
777,174;51,779;167,873;167,873
777,345;77,529;143,332;143,332
777,517;51,883;191,582;191,582
777,689;64,69;121,521;121,521
777,86;66,099;188,556;188,556
778,032;73,853;200,87;200,87
778,204;64,987;164,866;164,866
778,375;51,401;110,716;110,716
778,547;35,26;151,444;151,444
778,719;69,243;202,727;202,727
778,89;67,781;172,314;172,314
779,062;50,118;184,132;184,132
779,234;68,245;186,316;186,316
779,406;61,07;200,001;200,001
779,577;45,701;176,231;176,231
779,749;60,057;198,681;198,681
779,921;55,631;142,302;142,302
780,092;73,202;182,365;182,365
780,264;33,575;160,076;160,076
780,435;73,28;184,755;184,755
780,607;72,941;179,91;179,91
780,779;79,549;162,764;162,764
780,95;82,528;204,678;204,678
781,122;90,249;224,727;224,727
781,294;69,076;179,732;179,732
781,465;65,128;179,249;179,249
781,637;50,099;134,218;134,218
781,809;65,504;174,194;174,194
781,98;55,297;220,498;220,498
782,152;55,526;152,476;152,476
782,324;70,338;160,988;160,988
782,495;59,583;85,565;85,565
782,667;49,947;155,024;155,024
782,839;63,156;157,447;157,447
783,01;39,949;120,943;120,943
783,182;58,928;169,23;169,23
783,354;75,606;224,217;224,217
783,525;45,327;179,589;179,589
783,697;71,133;161,971;161,971
783,869;54,607;151,865;151,865
784,04;65,392;157,447;157,447
784,212;77,358;201,805;201,805
784,384;56,511;142,655;142,655
784,555;61,618;189,594;189,594
784,727;67,148;179,539;179,539
784,898;48,932;191,869;191,869
785,07;51,83;215,884;215,884
785,242;47,846;145,696;145,696
785,413;78,198;252,499;252,499
785,585;56,196;202,953;202,953
785,757;53,82;268,38;268,38
785,928;80,266;184,758;184,758
786,1;73,125;216,901;216,901
786,272;124,602;227,643;227,643
786,443;116,547;267,521;267,521
786,615;127,162;229,331;229,331
786,787;114,593;248,723;248,723
786,958;82,016;246,112;246,112
787,13;71,53;205,393;205,393
787,301;67,487;159,092;159,092
787,473;60,609;176,911;176,911
787,645;40,53;122,164;122,164
787,816;73,713;216,175;216,175
787,988;65,229;212,782;212,782
788,16;67,953;191,895;191,895
788,331;49,931;226,456;226,456
788,503;80,32;247,091;247,091
788,674;61,613;236,67;236,67
788,846;42,636;208,617;208,617
789,018;70,188;192,073;192,073
789,189;73,312;204,477;204,477
789,361;57,413;160,391;160,391
789,533;78,545;178,59;178,59
789,704;97,16;202,054;202,054
789,876;81,971;202,372;202,372
790,047;99,169;167,271;167,271
790,219;72,158;204,426;204,426
790,391;80,123;199,14;199,14
790,562;47,33;190,765;190,765
790,734;60,132;196,884;196,884
790,906;47,548;204,298;204,298
791,077;75,524;206;206
791,249;73,729;199,056;199,056
791,42;43,225;155,739;155,739
791,592;41,955;186,199;186,199
791,764;44,019;223,975;223,975
791,935;55,176;178,964;178,964
792,107;48,67;169,296;169,296
792,278;32,459;102,434;102,434
792,45;49,734;219,324;219,324
792,622;67,13;184,971;184,971
792,793;32,336;206,753;206,753
792,965;61,813;185,096;185,096
793,137;50,167;195,696;195,696
793,308;77,357;209,142;209,142
793,48;47,438;190,071;190,071
793,651;25,704;163,388;163,388
793,823;40,753;200,486;200,486
793,995;65,575;237,881;237,881
